id;impacto;plazo;indicador;supuestos
1;back-end Via indexing;76891;Practical Steel Chips;Berkshire concept
2;Illinois robust;53726;Creek;Shirt Metal
3;Mouse Rupiah;41166;RSS Buckinghamshire Officer;teal Licensed Wooden Pants
4;e-business;3180;Brazil;Island cyan
5;Granite open architecture;32158;Licensed;Credit Card Account Sleek
6;Sausages streamline Home;86830;Handmade Savings Account Manager;cultivate Bedfordshire
7;navigate Kiribati;72051;Small Wooden Ball Metal Bond Markets Units European Composite Unit (EURCO);Buckinghamshire Antarctica (the territory South of 60 deg S) Refined
8;back-end enhance;10486;interface;Toys
9;overriding;8920;Brazil;National
10;Ranch impactful;64882;Club Nebraska;Nevada quantify architectures
